Produto,Cores,Fator de Abertura,Largura (m),R$ M²,R$ ML
TJS,"01, 43, 50, 51, 54, 55, 71, 72, 73, 80","0,5%",2.0,"R$ 30,00","R$ 60,00"
TJS,"01, 43, 50, 51, 54, 55, 71, 72, 73, 80","0,5%",2.5,"R$ 30,00","R$ 75,00"
TJS,"01, 43, 50, 51, 54, 55, 71, 72, 73, 80","0,5%",3.0,"R$ 30,00","R$ 90,00"
One,"50, 01, 51, 54, 55, 71, 73",1%,2.0,"R$ 29,50","R$ 59,00"
One,"50, 01, 51, 54, 55, 71, 73",1%,2.5,"R$ 29,50","R$ 73,75"
One,"50, 01, 51, 54, 55, 71, 73",1%,3.0,"R$ 29,50","R$ 88,50"
Pers Plus,"01, 34, 43, 50, 51, 53, 55, 56, 71, 72, 74, 76, 80, 85",3%,2.0,"R$ 23,50","R$ 47,00"
Pers Plus,"01, 34, 43, 50, 51, 53, 55, 56, 71, 72, 74, 76, 80, 85",3%,2.5,"R$ 23,50","R$ 58,75"
Pers Plus,"01, 34, 43, 50, 51, 53, 55, 56, 71, 72, 74, 76, 80, 85",3%,3.0,"R$ 23,50","R$ 70,50"
2/1,"01, 43, 51, 71, 72",3%,2.0,"R$ 23,50","R$ 47,00"
2/1,"01, 43, 51, 71, 72",3%,2.5,"R$ 23,50","R$ 58,75"
2/1,"01, 43, 51, 71, 72",3%,3.0,"R$ 23,50","R$ 70,50"
Panamá,"01, 34, 43, 50, 51, 52, 54, 55, 71, 72, 73, 74, 76, 80, 85",5%,2.0,"R$ 21,50","R$ 43,00"
Panamá,"01, 34, 43, 50, 51, 52, 54, 55, 71, 72, 73, 74, 76, 80, 85",5%,2.5,"R$ 21,50","R$ 53,75"
Panamá,"01, 34, 43, 50, 51, 52, 54, 55, 71, 72, 73, 74, 76, 80, 85",5%,3.0,"R$ 21,50","R$ 64,50"
Light,"01, 51, 71",5%,2.5,"R$ 16,50","R$ 41,25"
